,,B,A,avg_B_normA,norm_A,sumB,sumA,norm_A-B
347,西宁市,2623016,1976177.4,2440120.4,2257225,1400259601,1225913092,-365791
348,黄南藏族自治州,96939,71172.4,89116.5,81294,1400259601,1225913092,-15645
349,七台河市,763401,756139.4,813538.7,863676,1400259601,1225913092,100274
350,伊春市,850003,921274.4,951149.5,1052296,1400259601,1225913092,202293
351,佳木斯市,2076014,1987394.6,2173025.7,2270037,1400259601,1225913092,194023
352,双鸭山市,1237509,1257287.2,1336802.5,1436096,1400259601,1225913092,198587
353,哈尔滨市,10619916,8634018.2,10240922.1,9861928,1400259601,1225913092,-757988
354,大兴安岭地区,218810,216428.4,233009.2,247208,1400259601,1225913092,28398
355,大庆市,2837350,2479490.4,2834734.2,2832118,1400259601,1225913092,-5233
356,牡丹江市,2161988,2142672.8,2304693.6,2447399,1400259601,1225913092,285411
357,绥化市,3665621,3899147,4059647.9,4453675,1400259601,1225913092,788054
358,鸡西市,1363289,1351185.6,1453318.4,1543348,1400259601,1225913092,180059
359,鹤岗市,896312,888474.8,955571.9,1014832,1400259601,1225913092,118520
360,黑河市,1371337,1296255.8,1425971.5,1480606,1400259601,1225913092,109269
361,齐齐哈尔市,3691295,3704658.2,3961410.5,4231526,1400259601,1225913092,540231
