,,B,A,avg_B_normA,norm_A,sumB,sumA,norm_A-B
80,铜陵市,718528,655406.6,733572.5,748617,1400259601,1225913092,30089
81,阜阳市,5153969,7329623.6,6762997.7,8372026,1400259601,1225913092,3218056
82,马鞍山市,1159593,1039392.2,1173402.5,1187212,1400259601,1225913092,27619
83,黄山市,894827,1080188.8,1064319,1233811,1400259601,1225913092,338984
84,东营市,2367675,2007176.8,2330153.8,2292633,1400259601,1225913092,-75042
85,临沂市,9099866,10038057.4,10282756.4,11465647,1400259601,1225913092,2365781
86,威海市,2712667,2188196.2,2606031.4,2499396,1400259601,1225913092,-213270
87,德州市,3954357,4748993,4689370.7,5424384,1400259601,1225913092,1470026
88,日照市,2419124,2629958.8,2711554.3,3003985,1400259601,1225913092,584862
89,枣庄市,2831506,3313488.8,3308115.4,3784725,1400259601,1225913092,953220
90,泰安市,3930241,4591050.4,4587110,5243979,1400259601,1225913092,1313738
91,济南市,9583168,6168625.8,8314540.7,7045913,1400259601,1225913092,-2537255
92,济宁市,6482054,7538391.4,7546269.1,8610484,1400259601,1225913092,2128430
93,淄博市,4241385,4018290,4415573.3,4589762,1400259601,1225913092,348377
94,滨州市,3202859,3412193,3550163.1,3897467,1400259601,1225913092,694608
95,潍坊市,7989689,8152449.4,8650780.7,9311872,1400259601,1225913092,1322182
96,烟台市,6473744,5788223,6542577.6,6611411,1400259601,1225913092,137666
97,聊城市,4485647,5148895.6,5183403.3,5881160,1400259601,1225913092,1395513
98,莱芜市,962135,996799,1050347.8,1138561,1400259601,1225913092,176427
99,菏泽市,5512508,7543503.4,7064415.5,8616323,1400259601,1225913092,3103815
100,青岛市,11412948,8096142.6,10330252.4,9247557,1400259601,1225913092,-2165391
101,临汾市,4437826,4961856.8,5052673.6,5667521,1400259601,1225913092,1229694
102,吕梁市,3123206,3462287.4,3538945.8,3954686,1400259601,1225913092,831480
103,大同市,3087612,3247127.6,3398269.7,3708927,1400259601,1225913092,621314
104,太原市,6776177,4158133.6,5762835.6,4749494,1400259601,1225913092,-2026684
105,忻州市,2531046,3055546.6,3010572.5,3490099,1400259601,1225913092,959053
106,晋中市,4003072,3770971.6,4155171.1,4307270,1400259601,1225913092,304198
107,晋城市,2201640,2363280.8,2450510.5,2699381,1400259601,1225913092,497741
108,朔州市,1504442,1708601.2,1728017.9,1951594,1400259601,1225913092,447153
109,运城市,5463617,6634450.6,6520802.2,7577987,1400259601,1225913092,2114369
110,长治市,3287265,3498866,3641865.8,3996467,1400259601,1225913092,709202
111,阳泉市,1543588,1541925.6,1652401.6,1761215,1400259601,1225913092,217626
112,东莞市,22959475,8731653.4,16466462.1,9973449,1400259601,1225913092,-12986026
113,中山市,7979572,3309028.8,5879601.4,3779631,1400259601,1225913092,-4199941
114,云浮市,1837523,2592012,2399082.3,2960642,1400259601,1225913092,1123119
115,佛山市,15170518,6022305.8,11024650.9,6878784,1400259601,1225913092,-8291734
116,广州市,32235022,13129235.8,23615733.3,14996445,1400259601,1225913092,-17238576
117,惠州市,8292880,5498890.8,7286904.9,6280930,1400259601,1225913092,-2011950
118,揭阳市,5424641,6839936.8,6618668.8,7812697,1400259601,1225913092,2388056
119,梅州市,2991691,4602111,4124151.8,5256613,1400259601,1225913092,2264922
120,汕头市,6934979,6445549.4,7148599.3,7362220,1400259601,1225913092,427242
121,汕尾市,2264061,2958967.2,2821923,3379785,1400259601,1225913092,1115724
122,江门市,5360043,4225257.2,5093102.8,4826163,1400259601,1225913092,-533879
123,河源市,2426961,3261974.6,3076422.9,3725885,1400259601,1225913092,1298924
124,深圳市,34435623,11751049.2,23928939.5,13422256,1400259601,1225913092,-21013367
125,清远市,3643414,4105938,4166644.5,4689875,1400259601,1225913092,1046461
126,湛江市,5056676,6150610.6,6041005.9,7025336,1400259601,1225913092,1968660
127,潮州市,2688992,2818365.6,2954089.5,3219187,1400259601,1225913092,530195
128,珠海市,3604434,1872228,2871463.2,2138492,1400259601,1225913092,-1465942
129,肇庆市,3713822,3913735.8,4092080,4470338,1400259601,1225913092,756516
130,茂名市,4478559,6765859.6,6103321.7,7728084,1400259601,1225913092,3249525
131,阳江市,1952323,2376657.2,2333491.6,2714660,1400259601,1225913092,762337
132,韶关市,2543920,3072071,3026446.8,3508974,1400259601,1225913092,965054
133,北海市,2220469,1900176.2,2195441.8,2170415,1400259601,1225913092,-50054
134,南宁市,11889380,9103258.8,11143641.7,10397903,1400259601,1225913092,-1491477
135,崇左市,2063126,2375603.6,2388290.9,2713456,1400259601,1225913092,650331
136,来宾市,1935672,2715082.4,2518443.3,3101215,1400259601,1225913092,1165544
137,柳州市,5360413,4345753,5162104.4,4963796,1400259601,1225913092,-396617
138,桂林市,4852113,5050979.6,5310715.7,5769318,1400259601,1225913092,917205
139,梧州市,2920067,3984134.6,3735408.1,4550749,1400259601,1225913092,1630682
140,河池市,2630696,3229518.2,3159754.4,3688813,1400259601,1225913092,1058117
141,玉林市,5351537,7974625.2,7230147.7,9108758,1400259601,1225913092,3757220
142,百色市,3021694,3062364.2,3259790.3,3497887,1400259601,1225913092,476193
143,贵港市,3994335,6418996.2,5663112.8,7331891,1400259601,1225913092,3337556
144,贺州市,1888893,2574588.6,2414816.9,2940741,1400259601,1225913092,1051848
145,钦州市,2879522,3966900.2,3705293.1,4531064,1400259601,1225913092,1651541
146,防城港市,1236858,1041881.2,1213456.6,1190055,1400259601,1225913092,-46803
147,乌鲁木齐市,4350083,3174798.8,3988196.8,3626311,1400259601,1225913092,-723771
148,五家渠市,287469,168417.8,239919.6,192370,1400259601,1225913092,-95099
149,伊犁哈萨克自治州,2027619,1941532.6,2122635.9,2217653,1400259601,1225913092,190034
150,克孜勒苏柯尔克孜自治,183795,151176.6,178235.8,172677,1400259601,1225913092,-11118
151,克拉玛依市,468416,390794.8,457394.3,446373,1400259601,1225913092,-22043
152,博尔塔拉蒙古自治州,453271,462791.4,490940.2,528609,1400259601,1225913092,75337
153,吐鲁番地区,457698,395919.2,454961.8,452226,1400259601,1225913092,-5472
154,和田地区,399820,362959.4,407199.7,414579,1400259601,1225913092,14758
155,哈密地区,613332,502604,593707.5,574083,1400259601,1225913092,-39249
156,喀什地区,1117983,1024160.4,1143898.7,1169814,1400259601,1225913092,51831
157,图木舒克市,113429,96506.4,111830.1,110231,1400259601,1225913092,-3198
158,塔城地区,982686,1062521.6,1098158.5,1213631,1400259601,1225913092,230945
159,巴音郭楞蒙古自治州,1680398,1463516.8,1676026.6,1671655,1400259601,1225913092,-8743
160,昌吉回族自治州,1506231,1405226.4,1555652.5,1605074,1400259601,1225913092,98843
161,石河子市,513407,472870.6,526764,540121,1400259601,1225913092,26714
162,阿克苏地区,1240204,1104128.8,1250679.6,1261155,1400259601,1225913092,20951
163,阿勒泰地区,477664,455995.4,499254.8,520846,1400259601,1225913092,43182
164,阿拉尔市,181607,188285,198334.6,215062,1400259601,1225913092,33455
165,南京市,11058725,5639035.6,8749865.6,6441006,1400259601,1225913092,-4617719
166,南通市,5717031,5551458.6,6029002.7,6340974,1400259601,1225913092,623943
167,宿迁市,4104101,5075142.2,4950508.8,5796917,1400259601,1225913092,1692817
168,常州市,5940982,3683783.6,5074332.3,4207683,1400259601,1225913092,-1733299
169,徐州市,8572876,9130451,9500919.6,10428963,1400259601,1225913092,1856086
170,扬州市,3905570,3570240.4,3991780.9,4077992,1400259601,1225913092,172422
171,无锡市,8874831,5146215.4,7376464.5,5878098,1400259601,1225913092,-2996733
172,泰州市,3563361,3829354.6,3968659.2,4373957,1400259601,1225913092,810595
173,淮安市,3916540,4763538.6,4678769,5440998,1400259601,1225913092,1524458
174,盐城市,5064585,6130384,6033409.1,7002233,1400259601,1225913092,1937648
175,苏州市,18323021,8593091.6,14069100.8,9815181,1400259601,1225913092,-8507839
176,连云港市,4466196,5078001.4,5133189.4,5800183,1400259601,1225913092,1333987
177,镇江市,2930284,2264748.8,2758560.2,2586836,1400259601,1225913092,-343448
178,上饶市,4276519,6046632,5591544.5,6906570,1400259601,1225913092,2630051
179,九江市,3645334,4202897.4,4222979,4800624,1400259601,1225913092,1155290
180,南昌市,6438744,4508721.4,5794342.7,5149941,1400259601,1225913092,-1288803
181,吉安市,3289549,4380805.8,4146691.3,5003834,1400259601,1225913092,1714285
182,宜春市,4350636,5386322.2,5251494.1,6152352,1400259601,1225913092,1801716
183,抚州市,2817744,3605522,3468017.6,4118291,1400259601,1225913092,1300547
184,新余市,927186,950816.2,1006612.4,1086039,1400259601,1225913092,158853
185,景德镇市,1187598,1227451.8,1294807.5,1402017,1400259601,1225913092,214419
186,萍乡市,1637982,1900675.8,1904483.5,2170985,1400259601,1225913092,533003
187,赣州市,8084943,10041804.4,9777434.3,11469926,1400259601,1225913092,3384984
188,鹰潭市,791268,880979.4,898769.1,1006270,1400259601,1225913092,215002
189,保定市,12692338,13414151.6,14007109.4,15321881,1400259601,1225913092,2629543
190,唐山市,8100823,7806183.4,8508592,8916361,1400259601,1225913092,815538
191,廊坊市,6586084,5499837.2,6434047.6,6282011,1400259601,1225913092,-304073
192,张家口市,3880347,4078226.8,4269284.9,4658223,1400259601,1225913092,777876
193,承德市,3106548,3421047.2,3507064.7,3907581,1400259601,1225913092,801032
